beetle_id,taxon_id,family,genus,specific_epithet,scientific_name,scientific_name_authorship
3377,198141,Zopheridae,Synchita,,"Synchita Hellwig, 1792",
3378,838405,Cerambycidae,Birandra,pinchoni,"Birandra pinchoni (Villiers, 1979)",
3379,641043,Curculionidae,Ulosominus,,"Ulosominus G.C.Champion, 1905",
3380,640382,Tenebrionidae,Lorelus,,"Lorelus Sharp, 1876",
3381,774450,Curculionidae,Xyleborus,pusio,"Xyleborus pusio Eggers, 1941",
3382,640804,Curculionidae,Homoeostethus,,"Homoeostethus J.Faust, 1896",
3383,852493,Carabidae,Selenophorus,latior,"Selenophorus latior Darlington, 1934",
3384,640124,Trogossitidae,Corticotomus,dufaui,"Corticotomus dufaui (Léveillé, 1907)",
3385,242277,Curculionidae,Coccotrypes,carpophagus,"Coccotrypes carpophagus Wood & Bright, 1992",
3386,184766,Histeridae,,,Histeridae,
3387,780934,Curculionidae,Phyllotrox,deknuydti,"Phyllotrox deknuydti Rheinheimer, 2014",
3388,593165,Chrysomelidae,Neolema,dorsalis,"Neolema dorsalis (Olivier, 1791)",
3389,641033,Curculionidae,Tricolus,,"Tricolus W.F.H.Blandford, 1905",
3390,204815,Scirtidae,Prionocyphon,,"Prionocyphon Redtenbacher, 1858",
3391,795201,Curculionidae,Trypetes,guildingi,"Trypetes guildingi Fahraeus, 1844",
3392,590671,Scarabaeidae,Saprosites,dufaui,"Saprosites dufaui Paulian, 1947",
3393,234940,Hydrophilidae,Cercyon,nigriceps,"Cercyon nigriceps (Marsham, 1802)",
3394,593102,Tenebrionidae,Uloma,retusa,"Uloma retusa Fabricius, 1801",
3395,774233,Curculionidae,Eulechriops,,"Eulechriops J.Faust, 1896",
3396,640063,Nosodendridae,Nosodendron,punctatostriatum,"Nosodendron punctatostriatum Chevrolat, 1864",
3397,640417,Tenebrionidae,Strongylium,delauneyi,Strongylium delauneyi Fleutiaux,
3398,593232,Curculionidae,Anchonus,,"Anchonus C.J.Schoenherr, 1825",
3399,640860,Curculionidae,Neotylodes,subfasciatus,"Neotylodes subfasciatus Hustache, 1936",
3400,640395,Tenebrionidae,Paratenetus,,"Paratenetus Spinola, 1844",
3401,771194,Carabidae,Selenophorus,subquadratus,"Selenophorus subquadratus (Putzeys, 1878)",
3402,639375,Staphylinidae,,,Pselaphidae,
3403,593239,Curculionidae,Cholus,,"Cholus E.F.Germar, 1823",
3404,640819,Curculionidae,Isus,nodulosus,"Isus nodulosus Hustache, 1930",
3405,774274,Curculionidae,Stenomimus,striatus,"Stenomimus striatus Hustache, 1932",
3406,640918,Curculionidae,Polydacrys,moestus,"Polydacrys moestus Chevrolat, 1880",
3407,639012,Carabidae,Perigona,picea,"Perigona picea Darlington, 1934",
3408,640901,Curculionidae,Phloeotribus,insularis,"Phloeotribus insularis Eggers, 1940",
3409,774269,Curculionidae,Micromimus,fulvus,"Micromimus fulvus Hustache, 1932",
3410,184615,Carabidae,,,Carabidae,
3411,774337,Curculionidae,Trachalus,elegans,"Trachalus elegans Hustache, 1930",
3412,440140,Scarabaeidae,Ataenius,nugator,"Ataenius nugator Harold, 1880",
3413,440110,Scarabaeidae,Cyclocephala,melanocephala,"Cyclocephala melanocephala rubiginosa Burmeister, 1847",
3414,984886,Curculionidae,Scolytodes,atomus,"Scolytodes atomus Bright, 2019",
3415,593238,Curculionidae,Anchonus,lafertei,"Ixanchonus lafertei (Fahraeus, 1843)",
3416,771373,Elateridae,Dipropus,puberulus,"Dipropus puberulus (Boheman, 1858)",
3417,728895,Anamorphidae,,,Anamorphidae,
3418,728901,Zopheridae,,,Colydiidae,
3419,640651,Curculionidae,Araptus,,"Araptus W.J.Eichhoff, 1872",
3420,640739,Curculionidae,Cossonus,dufaui,"Cossonus dufaui Hustache, 1932",
3421,774123,Chrysomelidae,Aedmon,,"Aedmon Clark, 1860",
3422,640721,Curculionidae,Conotrachelus,,"Conotrachelus Dejean & P.F.M.A., 1835",
3423,640892,Curculionidae,Coelosternus,aurulenta,"Pappista aurulenta (Chevrolat, 1880)",
3424,184674,Phalacridae,,,Phalacridae,
3425,640832,Curculionidae,Macroscytalus,ferrugineus,"Macroscytalus ferrugineus (Hustache, 1932)",
3426,272734,Scarabaeidae,Ataenius,gracilis,"Ataenius gracilis (Melsheimer, 1845)",
3427,640857,Curculionidae,Neotylodes,,"Neotylodes L.A.A.Chevrolat, 1880",
3428,203857,Corylophidae,Rypobius,,"Rypobius LeConte, 1852",
3429,204208,Curculionidae,Micromimus,,"Micromimus T.V.Wollaston, 1873",
3430,649577,Cantharidae,Silis,rogueti,"Silis rogueti Constantin, 2012",
3431,774199,Curculionidae,Pseudanthonomus,,"Pseudanthonomus W.G.Dietz, 1891",
3432,981090,Curculionidae,Dryocoetoides,cristatus,"Dryocoetoides cristatus (J.C.Fabricius, 1802)",
3433,753390,Carabidae,Selenophorus,alternans,"Selenophorus alternans Dejean, 1829",
3434,730122,Chrysomelidae,,,Chrysomelidae,
3435,849555,Chrysomelidae,Yingaresca,brevivittata,"Yingaresca brevivittata (Blake, 1968)",
3436,640725,Curculionidae,Conotrachelus,maceritiae,"Conotrachelus maceritiae Fåhrs., 1837",
3437,649606,Buprestidae,Taphrocerus,constantini,"Taphrocerus constantini Brûlé, 2012",
3438,215070,Zopheridae,Pycnomerus,,"Pycnomerus Erichson, 1842",
3439,639124,Hydrophilidae,Phaenonotum,exstriatum,"Phaenonotum exstriatum (Say, 1835)",
3440,640331,Zopheridae,Monoedus,,"Monoedus Horn, 1882",
3441,954791,Carabidae,Notiobia,aulica,"Notiobia aulica (Dejean, 1829)",
3442,984921,Curculionidae,Euwallacea,caraibicus,"Euwallacea caraibicus (Eggers, 1941)",
3443,184679,Curculionidae,,,Curculionidae,
3444,640827,Curculionidae,Macromerus,lanipes,"Macromerus lanipes (A.G.Olivier, 1791)",
3445,641019,Curculionidae,Stenotribus,,"Stenotribus T.V.Wollaston, 1873",
3446,984835,Curculionidae,Hylocurus,,"Hylocurus W.J.Eichhoff, 1872",
3447,640859,Curculionidae,Neotylodes,scapularis,"Neotylodes scapularis Hustache, 1936",
3448,593362,Carabidae,Pentagonica,,"Pentagonica Schmidt-Goebel, 1846",
3449,774306,Curculionidae,Homoeostethus,obscurus,"Homoeostethus obscurus Hustache, 1930",
3450,726375,Curculionidae,Xyleborus,volvulus,"Xyleborus volvulus (J.C.Fabricius, 1794)",
3451,1018717,Cerambycidae,Neseuterpia,fiardi,"Neseuterpia fiardi Touroult & Poirier, 2022",
3452,593181,Dryophthoridae,Metamasius,quadrisignatus,"Metamasius quadrisignatus E.Csiki, 1936",
3453,640835,Dryophthoridae,Mesocordylus,porriginosus,"Mesocordylus porriginosus E.Csiki, 1936",
3454,790715,Curculionidae,Cnesinus,insularis,"Cnesinus insularis Eggers, 1940",
3455,774030,Zopheridae,Paha,,"Paha Dajoz, 1984",
3456,189752,Curculionidae,Baris,,"Baris E.F.Germar, 1817",
3457,593118,Salpingidae,Inopeplus,,"Inopeplus Smith, 1851",
3458,fffa98625c348c85a20ef1b88f7169ec,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3459,822bd9df0e911cec507988f0536c5e0f,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3460,1a1abfb594f624dfb3fbd9f4c9c58482,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3461,1be072d371d9afdfa80574576e54a690,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3462,4365d6516b1a5b111b563d3d82c2048c,Cantharidae,Chauliognathus,profundus,"Chauliognathus profundus LeConte, 1858",
3463,115e04c457c085208a3264d0c4aeab62,Phengodidae,Distremocephalus,mexicanus,"Distremocephalus mexicanus (Wittmer, 1963)",
3464,06064307e97cc8a5da1c4ebdb0af47f0,Lycidae,Calopteron,,"Calopteron Laporte, 1838",
3465,8fe64b37b790298f8feff9143db6f464,Lampyridae,Photinus,,"Photinus Laporte, 1833",
3466,26d0aa0618e2048272e426f6e0814f41,Lycidae,Lycostomus,,"Lycostomus Motschulsky, 1861",
3467,7858adf24b0efd2b2ccf1e90e8ffb532,Lampyridae,Pyropyga,chemsaki,"Pyropyga chemsaki Zaragoza, 1993",
3468,f66bc295552341c65fc2a51271660937,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3469,8787370092d70eb670299e3631970510,Lycidae,Lycostomus,,"Lycostomus Motschulsky, 1861",
3470,42db12fc04db9e0f05348593fea8c56f,Cerambycidae,Sternidius,naeviicornis,"Liopinus naeviicornis Audureau, 2008",
3471,c8e95f9166dc160d44fcf998a5c30721,Lampyridae,Photinus,chamelensis,"Photinus chamelensis Zaragoza, 2005",
3472,b9da24489542fd8bcb72fb16c1efd8e2,Lycidae,Calopteron,reticulatum,"Calopteron reticulatum (Fabricius, 1775)",
3473,1307608630344f73e14657cbce0f47f6,Lampyridae,Photinus,pyralis,"Photinus pyralis (Linnaeus, 1767)",
3474,a8b04ce71965476e9504050c745f3071,Telegeusidae,Telegeusis,,"Telegeusis Horn, 1895",
3475,097df0b6eb6ea95659dbd3c69d8a3c1a,Cerambycidae,Anopliomorpha,reticolle,"Anopliomorpha reticolle (Bates, 1885)",
3476,b9a2260f1052069b0204bbf3b9aaa723,Phengodidae,Distremocephalus,,"Distremocephalus Wittmer, 1976",
3477,0fb65a102b4c8e8fd0728983dd35dadb,Cerambycidae,Eutrichillus,comus,"Eutrichillus comus (Bates, 1881)",
3478,1f3f31478c0546fb051a34e98c3e56d4,Cerambycidae,Plagiohammus,imperator,"Plagiohammus imperator (Thomson, 1868)",
3479,297abd686c1f86f9e18882e3f85aca8c,Phengodidae,Paraptorthodius,,"Paraptorthodius Schaeffer, 1904",
3480,e61ea2595f3c91245df050eebb6618ba,Cerambycidae,Urgleptes,,"Urgleptes Dillon, 1956",
3481,978e992e0f5e4a982f76b735365f6711,Phengodidae,Phengodes,,"Phengodes Illiger, 1807",
3482,9dcf1f5bad02b26e19d34b027b5ebd3d,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3483,9ade1b8754ed974f7e806a83609e6c0a,Lampyridae,Photinus,,"Photinus Laporte, 1833",
3484,9869aecee8564aa0f20b13732a2f884b,Cerambycidae,Lagocheirus,obsoletus,"Lagocheirus obsoletus Thomson, 1860",
3485,9269855611ee89fa84aee254ea25c133,Cerambycidae,Gymnopsyra,bupalpa,"Gymnopsyra bupalpa Chemsak, 1991",
3486,b3397c9dd460f35cd968030bb4b9a74f,Phengodidae,Stenophrixothrix,,"Stenophrixothrix Wittmer, 1963",
3487,79403453d63df03245fc01dca81c540e,Lycidae,Lycus,,"Lycus Fabricius, 1787",
3488,9116089074e07cf8f05c1bac8663163f,Lampyridae,Microphotus,dilatatus,"Microphotus dilatatus LeConte, 1866",
3489,31edb8581efe0c76e37b6ffab78da669,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3490,ba695e463574e6da8518ec87e07cf203,Lycidae,Lycus,fernandezi,"Lycus fernandezi Dugés, 1878",
3491,206dd0b09b6ea1e4881ba0d1f6ae6fcb,Phengodidae,Phengodes,,"Phengodes Illiger, 1807",
3492,a9c7235afa1d03cad42920cdfa5c5369,Lycidae,Lycostomus,,"Lycostomus Motschulsky, 1861",
3493,9b1b97e781a11d091978ede5329e4af1,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3494,879b0f6d5e61ae14c7f5f03680ab145d,Cerambycidae,Elytrimitatrix,hoegei,"Distenia hoegei Bates, 1892",
3495,d67d59d660684ee41afc5eabdf62a334,Cerambycidae,Stizocera,submetallica,"Stizocera submetallica (Chemsak & Linsley, 1968)",
3496,43af4e4b4fe3a78ebca535d8dda1be7b,Cerambycidae,,,Cerambycidae,
3497,e6486766b6bc3e94e6dfcf67c53fe8cd,Lampyridae,Pleotomus,nigripennis,"Pleotomus nigripennis LeConte, 1885",
3498,f942827721f47437bac71af5ecbd7c23,Phengodidae,Phengodes,,"Phengodes Illiger, 1807",
3499,c3d0b78cc541dd6b766c5c3c8c545116,Lampyridae,Photinus,bucaro,"Photinus bucaro Zaragoza, 2005",
3500,d4df753e237bdce77cf20cb3b1b66f2f,Cerambycidae,Mecotetartus,antennatus,"Mecotetartus antennatus Bates, 1872",
3501,b58f19af57fa3d1b1852f09fb913d3c5,Phengodidae,Cenophengus,,"Cenophengus LeConte, 1861",
3502,adc0d7d859136a6b6529a9bd32c340f5,Cerambycidae,Malacopterus,tenellus,"Malacopterus tenellus (Fabricius, 1801)",
3503,14ecd1905f8475f7f1d63e0051f485e4,Cerambycidae,Xeranoplium,pubescens,"Xeranoplium pubescens Chemsak & Giesbert, 1986",
3504,d248dd79a85aff4548001e3c6329bcc0,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3505,f88f2a61be984bb8266a856a9afa0f3a,Cerambycidae,Acyphoderes,suavis,"Acyphoderes suavis Bates, 1885",
3506,59c9b810e6bfde2f70ae30db94de6af6,Cantharidae,Silis,,"Silis Charpentier, 1825",
3507,8fb6a0db8de4a721604ca926d8b4158a,Cerambycidae,Rhopalophora,cupricollis,"Rhopalophora cupricollis Guérin-Méneville, 1844",
3508,4be1073b3249ca2951651dfb22884db2,Lampyridae,Bicellonycha,amoena,"Bicellonycha amoena (Gorham, 1880)",
3509,09854d5809b90e20d806abce399c4e17,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3510,530a384401b11faaba14201cac0d5fa2,Lampyridae,Photuris,trilineata,"Photuris trilineata (Say, 1835)",
3511,47007ef93bda7f47542138dcdc0a8a97,Lycidae,Plateros,,"Plateros Bourgeois, 1879",
3512,0221d03203534c4c9da884833c9c35f9,Cerambycidae,Megachoriolaus,chemsaki,"Megachoriolaus chemsaki Linsley, 1970",
3513,a159d7ca3fb125d81b1c530375794a80,Cerambycidae,Rhopalophora,miniatocollis,"Rhopalophora miniatocollis Chevrolat, 1859",
3514,dd93902fdbc2328fa31f7b8c14d296d9,Cerambycidae,Odontocera,aurocincta,"Odontocera aurocincta aurocincta Monné & Hovore, 2006",
3515,08ec646464db59262c618cb1e2299238,Cerambycidae,Acyphoderes,cribricollis,"Acyphoderes cribricollis Bates, 1892",
3516,05083bda43ce038f7f328a524233d62b,Cerambycidae,Stenobatyle,eburata,"Stenobatyle eburata (Chevrolat, 1862)",
3517,3ac99a1942cfc355566ef1731dd05dd9,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3518,5887126743e8d303fed755333cea36be,Cerambycidae,Strangalia,hamatipes,"Strangalia hamatipes Giesbert, 1986",
3519,eb6d297921b1df8d8bfc9afffd76fb0a,Cantharidae,Belotus,,"Belotus Gorham, 1881",
3520,372bd1055772c6976f92f0d8db99d010,Cerambycidae,Stenobatyle,gracilis,"Stenobatyle gracilis Chemsak, 1980",
3521,33fe83bdeb9bd8122b804aece2bd3905,Lycidae,Plateros,rosae,"Plateros rosae Zaragoza-Caballero, 1999",
3522,ea58574a9fb10c55ce85a8229bb50605,Cerambycidae,Essostrutha,laeta,"Essostrutha laeta (Newman, 1840)",
3523,47343e713695cbea5577dc6ccf6d61ce,Cerambycidae,Lochmaeocles,cornuticeps,"Lochmaeocles cornuticeps pacificus Dillon & Dillon, 1946",
3524,df0a610b1742e39a5a3cef90f32aa00d,Cerambycidae,Micropsyrassa,doyeni,"Micropsyrassa doyeni Chemsak & Giesbert, 1986",
3525,61cf615171ff2fe11afb2a44b8b33213,Lampyridae,Photinus,,"Photinus Laporte, 1833",
3526,2dfb083376f8dedc45a2f09bf55a8774,Cerambycidae,Odontocera,fuscicornis,"Odontocera fuscicornis Bates, 1885",
3527,92c3dead7ee4073b71db061cfc132f13,Lampyridae,Photinus,kleriocaro,"Photinus kleriocaro Zaragoza, 2005",
3528,0f84511ee9fdfda4a25add2fab5c7526,Lampyridae,Photinus,aliciae,"Photinus aliciae Zaragoza, 2005",
3529,59cc3290862f7c8bf29ddbd6d9b2ebb4,Phengodidae,,,Phengodidae,
3530,692c237ee68e3a094a0808e9f5dfce0a,Lycidae,Lygistopterus,,"Lygistopterus Mulsant, 1838",
3531,27ef846ac624fc1a4b407b491ef077cc,Phengodidae,Phengodes,,"Phengodes Illiger, 1807",
3532,cc28e7d32528cb2bb2a5fc5c94c72238,Lampyridae,Photinus,,"Photinus Laporte, 1833",
3533,09f1ac543f74de270567ca6a0b6c76e2,Lampyridae,Photinus,,"Photinus Laporte, 1833",
3534,d597618e31dfbc37e320ef084beb4770,Lycidae,Lycostomus,,"Lycostomus Motschulsky, 1861",
3535,e85ce703f966178b3e13661f1f5b64ba,Lycidae,Plateros,ibarrai,"Plateros ibarrai Zaragoza-Caballero, 1999",
3536,33d32892ab3076c31325b0d39ea53fa4,Lampyridae,Cratomorphus,,"Cratomorphus Motschulsky, 1853",
3537,b6a86cd177f233fcd1d49b93e376e32c,Lampyridae,Aspisoma,depictum,"Aspisoma depictum (Gorham, 1880)",
3538,ea8f4c95955c917140cfffaffc9f9f04,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3539,6a8d58b5ce1d338c9b2ba022d359b55e,Lycidae,Plateros,soriai,"Plateros soriai Zaragoza-Caballero, 1999",
3540,65703cc4621debe1ca21aa6fde0db9a1,Lycidae,Plateros,rodriguezae,"Plateros rodriguezae Zaragoza-Caballero, 1999",
3541,b0276625a33919f7075ba62ba71e5f8e,Lampyridae,Photuris,,"Photuris Dejean, 1833",
3542,5583e9364455fc19d709650404287202,Cantharidae,Silis,,"Silis Charpentier, 1825",
3543,a8f6fb641e2cacf238c36c72b09cd5ad,Lampyridae,Pyropyga,modesta,"Pyropyga modesta Green, 1961",
3544,6e50c10563819a96bdc6fe381ecb258f,Cerambycidae,Nyssodrysina,haldemani,"Nyssodrysina haldemani (LeConte, 1852)",
3545,709ca39e447769216dc776ab6f01b9a8,Cerambycidae,Colobothea,sinaloensis,"Colobothea sinaloensis Giesbert, 1979",
3546,2f7381152cd41de439a10382507d50fc,Cerambycidae,Adetus,,"Adetus LeConte, 1852",
3547,9f0fb6754ad0f10b321aecd2855797ea,Cerambycidae,Aegomorphus,albosignus,"Aegomorphus albosignus Chemsak & Noguera, 1993",
3548,cef41ddb90f6a06fff6acb95cae1c2e9,Cantharidae,Chauliognathus,,"Chauliognathus Hentz, 1830",
3549,7552b5b175a96d37f6aa1f29c5d3e275,Cerambycidae,Lagocheirus,araneiformis,"Lagocheirus araneiformis ypsilon (Voet, 1778)",
3550,85ab72f541e0c1c25f3892bb3fab6eac,Phengodidae,Phengodes,,"Phengodes Illiger, 1807",
3551,b65f97d7caa2f4f3f7a43bb101cda0b1,Lycidae,Lygistopterus,,"Lygistopterus Mulsant, 1838",
3552,f67198d28a70f9bd4994d23753ff3040,Lycidae,Lycus,minutus,"Lycus minutus Green, 1949",
3553,f5b7eec0719f28444d265e95007b935a,Lycidae,Calopteron,,"Calopteron Laporte, 1838",
3554,8ac7c90c58b9f1a462b34b1665ad3330,Cerambycidae,Anelaphus,maculatus,"Anelaphus maculatus (Chemsak & Noguera, 1993)",
3555,173b60227f5f9e2c20e4a282829567ae,Cerambycidae,Stenosphenus,trispinosus,"Stenosphenus trispinosus Bates, 1872",
3556,1d63384cee67c00b1742cf99320c2aca,Lampyridae,Photinus,,"Photinus Laporte, 1833",
3557,8c0982be412323978e8a7e2afdc93c85,Cerambycidae,Eburodacrys,hesperidis,"Eburodacrys hesperidis Chemsak & Linsley, 1970",
3558,a2972821991a9ad33b4249b8499bc14c,Cantharidae,Silis,,"Silis Charpentier, 1825",
3559,dbbd9445954aa36ecbb8ded725de7dec,Cerambycidae,Aneflus,rugicollis,"Aneflus rugicollis Linsley, 1935",
3560,e7b9940df6315ee1c24a43b73b98acfa,Cerambycidae,Psyrassa,sthenias,"Psyrassa sthenias Bates, 1892",
3561,797c2ae2b4354b1b01b61618b2cbee40,Cerambycidae,Anelaphus,,"Anelaphus Linsley, 1936",
3562,4dc7a1b325d2fe751a2c87d9999b9ddc,Cerambycidae,Austrophanes,robustum,"Austrophanes robustum Chemsak & Linsley, 1963",
3563,39479bcac3ec7d8f287176e80b27b02e,Phengodidae,Distremocephalus,,"Distremocephalus Wittmer, 1976",
3564,12bbcde25c3d9906a53ecf9114e6c0c3,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3565,d0313c8adebdd530c212720d087f36be,Cerambycidae,Hexoplon,calligrammum,"Hexoplon calligrammum Bates, 1885",
3566,a3ab880c80872775b262a2f58e1ac36f,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3567,9c91ba918665f44df7c9d34f424ba5ca,Cerambycidae,Diasporidion,duplicatum,"Diasporidion duplicatum (Gounelle, 1909)",
3568,cf29aa730a3f8e006f3c4b03426ca366,Cerambycidae,Orwellion,gibbulum,"Orwellion gibbulum gibbulum Turnbow, Cave & Thomas, 2003",
3569,fda5f0c8ff997a62264135f57ff2bee0,Cantharidae,Malthinus,,"Malthinus Latreille, 1806",
3570,3ffd0f2421b0004df5adee50422e49dc,Cantharidae,Discodon,,"Discodon Gorham, 1881",
3571,d95a2f77f08ebd5ec1f42d6a4c05553e,Phengodidae,,,Phengodidae,
3572,98044ee5895cd1842ce367e196632226,Cerambycidae,Anopliomorpha,rinconium,"Anopliomorpha rinconium (Casey, 1924)",
3573,55a5166405cc5c8a3cf7e5f62ea0ef08,Cerambycidae,Heterachthes,,"Heterachthes Newman, 1840",
3574,1d7274c56c4ad0781dc09367ecf77c7c,Cerambycidae,Lissonotus,flavocinctus,"Lissonotus flavocinctus puncticollis Bates, 1885",
3575,f55534a17611dd1554f7df3521988e34,Cerambycidae,Eburia,aliciae,"Eburia aliciae Noguera, 2002",
3576,24febc14a7fc7460feb72e869d5ee6b9,Cerambycidae,Sphaenothecus,bivittatus,"Sphaenothecus bivittatus Dupont, 1838",
3577,5e87a13ff7353bf18488e3f630c4cc3b,Cerambycidae,Metironeus,hesperus,"Metironeus hesperus Chemsak, 1991",
3578,7b6a64ef26e3ef7444d0ddcface63f43,Cerambycidae,Erlandia,mexicana,"Erlandia mexicana Noguera & Chemsak, 2001",
3579,a3e7a359568ddf792cbf4593131e2093,Cerambycidae,Tigrinestola,tigrina,"Tigrinestola tigrina (Skinner, 1905)",
3580,5aecb9f6f3b7f06cd8d796fe7a6162d3,Cerambycidae,Eburia,chemsaki,"Eburia chemsaki Noguera, 2002",
3581,4136c892f29b1bd342a38adcc6500b16,Cerambycidae,Neocompsa,puncticollis,"Neocompsa puncticollis asperula (Bates, 1885)",
3582,5d7f017e0a06a507c24477b4781d4cda,Cerambycidae,Anelaphus,piceus,"Anelaphus piceus (Chemsak, 1962)",
3583,eff44b5965a5e2713f06e663732344b8,Cerambycidae,Stenaspis,solitaria,"Stenaspis solitaria (Say, 1824)",
3584,31e18bbcc6811698d797c97f92c0a089,Cerambycidae,Psyrassa,,"Psyrassa Pascoe, 1866",
3585,5842c31929382286585c7da2e3ededa7,Cerambycidae,Anelaphus,simile,"Anelaphus simile (Schaeffer, 1908)",
3586,73d1282d14cbfac4c2d8affb7ee0af08,Cerambycidae,Stenobatyle,miniatocollis,"Stenobatyle miniatocollis (Chevrolat, 1862)",
3587,f8ab66023e93d39e26882727928328b0,Cerambycidae,Peritapnia,fabra,"Peritapnia fabra Horn, 1894",
3588,3387af53903340133c4f4aa337e3e3db,Cerambycidae,Cymatonycha,castanea,"Cymatonycha castanea Bates, 1874",
3589,756aef67e4a642eed2ef5c7b370a57ef,Cerambycidae,Axestoleus,quinquepunctatus,"Axestoleus quinquepunctatus Bates, 1892",
3590,6dfaa3870c44fda8eea344218313d4b0,Cerambycidae,Psyrassa,megalops,"Psyrassa megalops Chemsak & Noguera, 1993",
3591,c9d26fdf81ec5bc39a1406c4152708a8,Cerambycidae,Muscidora,tricolor,"Muscidora tricolor Thomson, 1864",
3592,7ba5b62c31accc46f96a7c03f1b58ff4,Cerambycidae,Neocompsa,,"Neocompsa Martins, 1965",
3593,88389973f3d2f88b2af491c58f098cf2,Cerambycidae,Strangalia,palaspina,"Strangalia palaspina Chemsak, 1969",
3594,d75823dc5348c1fc3269f8533473ddaf,Cerambycidae,Acyphoderes,amoena,"Acyphoderes amoena Chemsak & Linsley, 1979",
3595,3e2b7c3477254389a92549b1dbcda617,Cerambycidae,Megacyllene,antennata,"Megacyllene antennata (White, 1855)",
3596,887e44b1399253b60fa133b8ccec0167,Cerambycidae,Coscinedes,gracilis,"Coscinedes gracilis Bates, 1885",
3597,a658e3bb6294af7eaee9adc63e066fa2,Cerambycidae,Derobrachus,forreri,"Derobrachus forreri Bates, 1884",
3598,c076c583d527f5d8bc5884a65a3d87b8,Cerambycidae,Pachymerola,ruficollis,"Pachymerola ruficollis ruficollis Monné & Giesbert, 1994",
3599,703f3657d6d1b2f5405e8820e143b1c9,Cerambycidae,Trachyderes,mandibularis,"Trachyderes mandibularis mandibularis Turnbow, Cave & Thomas, 2003",
3600,d562c5999590115188e74b2ccf6a0d85,Cerambycidae,Stenobatyle,prolixa,"Stenobatyle prolixa (Bates, 1892)",
3601,d67a736afd8d205f9772c80e0b1b37d6,Cerambycidae,Obrium,ruficolle,"Obrium ruficolle Bates, 1885",
3602,dda7c9d119cec08173dba658cfa6022d,Cerambycidae,Deltaspis,,"Deltaspis Audinet-Serville, 1834",
3603,1997bd2861ae00483faacf70538c4652,Cerambycidae,Strangalia,xanthotela,"Strangalia xanthotela (Bates, 1892)",
3604,c359634b70125099c4032c92c89b0ff1,Cerambycidae,Conosphaeron,concolor,"Consosphaerion concolor concolor Chemsak, Linsley & Hovore, 1988",
3605,1e60a50feb4fbcdddc08afff7c6437d7,Cerambycidae,Stenygra,histrio,"Stenygra histrio Audinet-Serville, 1834",
3606,a14a5dcb9d7953676a7904b05c72ae66,Cerambycidae,Moneilema,gigas,"Moneilema gigas LeConte, 1873",
3607,6351f0b602655c86bc7483eba18cf71f,Cerambycidae,Xeranoplium,tricallosum,"Xeranoplium tricallosum (Knull, 1938)",
3608,d969c179323d89bd90552b660f18021f,Cerambycidae,Coenopoeus,palmeri,"Coenopoeus palmeri (LeConte, 1873)",
3609,c1b362a683546a760e1fffc8d962f3de,Cerambycidae,Psyrassa,,"Psyrassa Pascoe, 1866",
3610,c8ae3fa3f6593fdeb0c34fd2e95bfa52,Cerambycidae,Oncideres,rhodosticta,"Oncideres rhodosticta Bates, 1885",
3611,e541e82f1ffde2c944949e1349aff701,Cerambycidae,Poliaenus,concolor,"Poliaenus concolor (Schaeffer, 1909)",
3612,e028597b01d73a17ac3f957fe4f3be3d,Cerambycidae,Eburia,juanitae,"Eburia juanitae Chemsak & Linsley, 1970",
3613,dd859905b43f5c2dfeb77c5fcb04c78e,Cerambycidae,Eclipta,championella,"Ommata championella Bates, 1880",
3614,af037cefa114986c05fc1828f8af2334,Cerambycidae,Neoclytus,,"Neoclytus J.Thomson, 1860",
3615,807143395b380542c63e6b71fec0d544,Cerambycidae,Psyrassa,,"Psyrassa Pascoe, 1866",
3616,037d6e44f0b9b31fb78b88ba8219e9d4,Cerambycidae,Susuacanga,ulkei,"Eburia ulkei Bland, 1862",
3617,14102c047efe69e11809cb4c8e5c06e2,Cerambycidae,Placosternus,difficilis,"Placosternus difficilis (Chevrolat, 1862)",
3618,b58bfc347b25b89d0c201c8a7ac2ce3d,Cerambycidae,Desmiphora,hirticollis,"Desmiphora hirticollis (Olivier, 1795)",
3619,7af3d72013d685a90fa1997b8bc105ed,Cerambycidae,Pseudodeltaspis,,"Pseudodeltaspis Linsley, 1935",
3620,b47ddaa38a5ea5dff16f63b2db8de1d2,Cerambycidae,Eburia,laticollis,"Eburia laticollis Bates, 1880",
3621,c62b6fd1b76cd3b38287ad2eb4e73294,Cerambycidae,Thryallis,undatus,"Thryallis undatus (Chevrolat, 1835)",
